日付,演奏会名,会場,指揮,演目
2025/11/16,"第68回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志
里見遼（*）","【Ⅰ部】
ハンティンドン・セレブレーション（P．スパーク）（*）
日本民謡による幻想曲-「砂山」の主題による（S．R．ヘイゾ）
行進曲《東洋と西洋》（C．サン=サーンス）

【Ⅱ部】
Mr．インクレディブル（M．ジアッキーノ　編曲：星出尚志）（*）
戦場のメリークリスマス（坂本龍一　編曲：西條太貴）
交響組曲「ジュラシック・ワールド」（M．ジアッキーノ　編曲：J．ボコック）
Through the Eyes of Love（M．ハムリッシュ　編曲：戸嶋純平）
ライオン・キング・メドレー（編曲：森田一浩）

【アンコール】
星条旗よ永遠なれ（J．P．スーザ）
SAYONARA（J．ヴァンデルロースト）"
2025/7/13,第53回定期演奏会,"たましんRISURUホール
大ホール","都築啓志
里見遼（*）","【Ⅰ部】
ジュビリー序曲（P．スパーク）（*）
カンタベリー・コラール（J．ヴァンデルロースト）
組曲「ニュー・ロンドン・ピクチャーズ」（N．ヘス）

【Ⅱ部】
ポルカ「クラップフェンの森で」（J．シュトラウス2世　編曲：淀彰）
ワルツ「ウィーンの森の物語」（J．シュトラウス2世　編曲：淀彰）
ノートルダムの鐘より（A．メンケン　編曲：森田一浩）

【アンコール】
ノートルダムの鐘より「僕の願い」（A．メンケン　編曲：森田一浩）
ラデッキー行進曲（Ｊ．シュトラウス1世）"
2024/11/17,"第67回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志
里見遼（*）","【Ⅰ部】
アルヴァマー序曲（J．バーンズ）（*）
エアーズ（田嶋 勉）
火の鳥より抜粋 （I．ストラヴィンスキー　 編曲：F．フェネル）
　・魔王カスチェイの凶悪な踊り
　・子守歌
　・終曲

【Ⅱ部】
エルクンバンチェロ（R．エルナンデス　 編曲：岩井 直溥）
アニメ・メドレー久石譲作品集（久石 譲　 編曲：森田 一浩）
ルパン三世のテーマ（大野 雄二　 編曲：星出 尚志）
愛の讃歌（M．モノ―　 編曲：星出尚志）
バードランド（J． ザヴィヌル　編曲：里見 遼）

【アンコール】
ディズニー・メドレー・リターンズ
翼をください（合唱付き）"
2024/7/14,第52回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
フローレンティナー行進曲（J．フチーク）
歌劇「カヴァレリア・ルスティカーナ」より間奏曲（P．マスカーニ　編曲：建部知弘）
ジャズ組曲第2 番より（D．ショスタコーヴィッチ　編曲：J．デ・メイ）
　・マーチ
　・ダンスNo1
　・ワルツNo2
　・フィナーレ

【Ⅱ部】
吹奏楽のための第二組曲（G．ホルスト　伊藤康英校訂版）
サガ・キャンディダ～魔女狩りの７つのインプレッション～（B．アッペルモント）

【アンコール】
SAYONARA（編曲：ヤン・ヴァン・デル・ロースト）"
2023/11/19,"第66回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール",都築啓志,"【Ⅰ部】
レイダース・マーチ（J・ウィリアムズ）
NHK大河ドラマ「どうする家康」より「メインテーマ 暁の空」（稲本響　編曲：藤本陸斗）
ミュージカル「オペラ座の怪人」より（アンドリュー・ロイド・ウェバー　編曲：ヨハン・デ・メイ）

【Ⅱ部】
レトロ（天野正道）
ディズニー・プリンセス・メドレー（編曲：宮川成治）
セプテンバー（編曲：中路英明/郷間幹男）
ムーン・リバー（ヘンリー・マンシーニ　編曲：星出尚志）
トリステーザ（アロルド・ロボ/ニルティーニョ　編曲：真島俊夫）

【アンコール】
木陰の散歩道
ディス・ガイ"
2023/7/16,第51回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
行進曲「煌めきの朝」（牧野圭吾）
プロセルピナの庭 「吹奏楽のための交響的牧歌」（Ａ．リード）
カレイドスコープ 「ブルックの歌による5つの変奏曲」（Ｐ．スパーク）

【Ⅱ部】
歌劇「蝶々夫人」ハイライト（Ｇ．プッチーニ　編曲：金山徹）
ミュージカル「ミスサイゴン」より（Ｃ．Ｍ．シェーンベルク　編曲：ヨハン・デ・メイ）
　・Overture（序曲）
　・The Movie in my Mind（我が心の夢）
　・The Morning of the Dragon（サイゴン没落）
　・Please（プリーズ）
　・I Still Believe （今も信じてるわ）"
2022/11/20,"第65回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
マーチ「ブルー・スプリング」（鈴木雅史）
ロマネクス（J．スウェアリンジェン）
NHK大河ドラマ「鎌倉殿の13人」メインテーマ（E．コール　編曲：高橋宏樹）
パンチネルロ（A．リード）

【Ⅱ部】
フライデー・ナイト・ファンタジー（P．ポルト　編曲：里見遼）
グレイテスト・ショーマンよりB．パセック＆J．ポール　編曲：星出尚志）
「SING」セレクション（編曲：M．ブラウン）
マイ・ウェイ（C．フランソワ　編曲：里見遼）

【アンコール】
魔女の宅急便メドレー（編曲：浅野由莉）
ボギー大佐（K．J．アルフォード）"
2022/7/16,第50回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","アルセナール（J．ヴァン・デル・ロースト）
やまがたふぁんたじぃ～吹奏楽のための～（杉浦邦弘）
吹奏楽のための第3組曲「バレエ情景」（A．リード）
楽劇「ニュルンベルクのマイスタージンガー」より（R．ワーグナー）
ミュージカル「レ・ミゼラブル」より（C．Mシェーンベルク）

【アンコール】
ヴィッアの歌（レハール）
ラデッキー行進曲（J．シュトラウス）"
2021/11/21,"第64回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","SECOND CENTURY （A． リード）
大河ドラマ　メインテーマ「青天を衝け」　（佐藤直紀　編曲：福島弘和）
Sweet Memories　（大村雅朗　編曲：川嵜淳一）
銀河鉄道999　（タケカワユキヒデ　編曲：里見遼）
ｼﾞｬﾊﾟﾆｰｽﾞ･ｸﾞﾗﾌｨﾃｨⅥ～日本レコード大賞、青春の’７０年代～　（編曲：星出尚志）
A DISNEYLAND CELEBRATION （編曲：M．ブラウン）

【アンコール】
ディスコ・キッド（東海林修）
「ドラゴン　クエスト」の音楽　序曲/広野を行く　（すぎやまこういち　編曲：森田一浩）
WHAT A WONDERFUL WORLD （Bob Thiele & George David Weiss　編曲：黒川さやか）"
2021/6/26,第49回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","オリンピックマーチ（古関裕而）
序曲「インペラトリクス」（Ａ．リード）
陽はまた昇る（P．スパーク）
喜歌劇「メリー・ウィドウ」セレクション（Ｆ．レハール　編曲：鈴木英史）
お酒ソング・コレクション～酔奏楽の為の～（編曲：辻峰拓）
上を向いて歩こう（中村八大　編曲：山下国俊）
我が心のフォスター（S．フォスター 編曲：星出尚志）

【アンコール】
雷鳴と稲妻（J．シュトラウス2世）
明日があるさ（中村八大　編曲：山下国俊）"
